archArea,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,hhldCnt,hoCnt,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,roofCd,roofCdNm,sigunguCd,splotNm,strctCd,strctCdNm,totArea,vlRatEstmTotArea
236.26,10400,차윤철 B/D, ,0038,20090326,0,1,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-1496,11110-1068,0,서울특별시 종로구 효자동 38번지,9,90,기타지붕,11110, ,31,일반철골구조,1164.42,929.42
246.31,10400,현대사회연구소분소, ,0038,20140723,0,0,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-4640,11110-3939,0,서울특별시 종로구 효자동 38번지,10,90,기타지붕,11110, ,21,철근콘크리트구조,1192.08,957.08
2.69,10500,유니세프한국위원회 사옥, ,0017,20150207,0,0,0,0001, ,0,주건축물,14000,업무시설,11110-100010229,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,1,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,48.3,24.15
274.61,10500,유니세프 한국위원회 사옥, ,0017,20170209,0,0,0,0001, ,0,주건축물,14000,업무시설,11110-3447,11110-2866,0,서울특별시 종로구 창성동 17-1번지,2,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1341.03,832.06
277.25,10500,온지음, ,0017,20180616,0,0,0,0001, ,0,주건축물,04000,제2종근린생활시설,11110-100031042,11110-100027781,0,서울특별시 종로구 창성동 17-1번지,3,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1286.82,783.06
391.66,10500,창성동연립주택, ,0021,20130627,0,16,0,0001, ,0,주건축물,02000,공동주택,11110-1207,11110-808,0,서울특별시 종로구 창성동 21-1번지,4,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,2010.34,1451.54
6,10500, , ,0021,20180505,0,0,0,0001, , , ,28000,가설건축물,11110-100009796,11110-100011953,0,서울특별시 종로구 창성동 21-1번지,5, , ,11110, ,99,기타구조,6,6
92.29,10500,1, ,0021,20090326,4,0,0,0007, ,0,주건축물,01000,단독주택,11110-1360,11110-960,0,서울특별시 종로구 창성동 21-7번지,6,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,265.58,265.58
77.31,10500,1, ,0021,20090326,0,3,0,0007, ,0,주건축물,02000,공동주택,11110-1985,11110-1529,0,서울특별시 종로구 창성동 21-7번지,7,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,267.95,267.95
81.76,10500, ,21,0021,20090326,3,0,0,0010,10,0,주건축물,01000,단독주택,11110-1386,11110-986,0,서울특별시 종로구 창성동 21-10번지,8,10,(철근)콘크리트,11110,서울특별시 종로구 창성동,21,철근콘크리트구조,241.96,241.96
