C1,C1_NM,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
000200010004,서남권,지역별,0003,40㎡초과,규모별,25000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0003,40㎡초과,규모별,990,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0001,전체,규모별,26214.76308,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0001,전체,규모별,919.8983877,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0001,전체,규모별,12636.80694,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0001,전체,규모별,827.4372404,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0002,40㎡이하,규모별,9558.333333,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0002,40㎡이하,규모별,667.9666667,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0002,40㎡이하,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0002,40㎡이하,규모별,660,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0003,40㎡초과,규모별,72727.27273,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0003,40㎡초과,규모별,1623.409091,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0003,40㎡초과,규모별,20000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010005,동남권,지역별,0003,40㎡초과,규모별,1295,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0001,전체,규모별,8241.329194,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0001,전체,규모별,471.4831673,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0001,전체,규모별,7159.624985,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0001,전체,규모별,439.2253744,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0002,40㎡이하,규모별,4666.25,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0002,40㎡이하,규모별,359.575,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0002,40㎡이하,규모별,5000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0002,40㎡이하,규모별,355,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0003,40㎡초과,규모별,12943.33333,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0003,40㎡초과,규모별,618.6666667,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0003,40㎡초과,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020002,인천,지역별,0003,40㎡초과,규모별,550,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0001,전체,규모별,10718.26092,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
