bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmDongOulnPk,mgmPlatPlcPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmPmsrgstPk
10100, ,0015,20140318,510,0040,08,대, ,1,동별,11110-100018724,11110-100026014,0,서울특별시 종로구 청운동 15-40번지, ,0,64,11110, ,
10100, ,0015,20130727,510,0046,08,대, ,0,전체,11110-100023718,11110-100016486,0,서울특별시 종로구 청운동 15-46번지, ,1,65,11110, ,
10100, ,0015,20150627,515,0046,08,대, ,0,전체,11110-100031016,11110-100023085,0,서울특별시 종로구 청운동 15-46번지, ,1,66,11110, ,
10100, ,0015,20161207,515,0046,08,대, ,0,전체,11110-100037255,11110-100023938,0,서울특별시 종로구 청운동 15-46번지, ,1,67,11110, ,
10100, ,0015,20100818,510,0047, , , ,0,전체,11110-1070,11110-732,0,서울특별시 종로구 청운동 15-47번지, ,1,68,11110, ,
10100, ,0015,20130618,510,0056,08,대, ,0,전체,11110-1292,11110-929,0,서울특별시 종로구 청운동 15-56번지, ,1,69,11110, ,
10100, ,0015,20111209,510,0079,08,대, ,0,전체,11110-100018506,11110-100011735,0,서울특별시 종로구 청운동 15-79번지, ,0,70,11110, ,
10100, ,0016,20190305,510,0001, , , ,0,전체,11110-3885,11110-3511,0,서울특별시 종로구 청운동 16-1번지, ,1,71,11110, ,
10100, ,0030,20140711,510,0001,08,대, ,0,전체,11110-2843,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,1,72,11110, ,
10100, ,0030,20140711,510,0004, , , ,1,동별,11110-3002,11110-10862,0,서울특별시 종로구 청운동 30-4번지,30-4,0,73,11110, ,
10100, ,0030,20100325,510,0005, , , ,0,전체,11110-6180,11110-5806,0,서울특별시 종로구 청운동 30-5번지, ,1,74,11110, ,
10100, ,0030,20140711,510,0005, , , ,1,동별,11110-3002,11110-10863,0,서울특별시 종로구 청운동 30-5번지,30-5,0,75,11110, ,
10100, ,0030,20151014,515,0013,08,대, ,0,전체,11110-100032299,11110-100023937,0,서울특별시 종로구 청운동 30-13번지, ,1,76,11110, ,
10100, ,0030,20170908,515,0013,08,대, ,0,전체,11110-100041095,11110-100024216,0,서울특별시 종로구 청운동 30-13번지, ,1,77,11110, ,
10100, ,0030,20171020,515,0013,08,대, ,0,전체,11110-100041494,11110-100029175,0,서울특별시 종로구 청운동 30-13번지, ,1,78,11110, ,
10100, ,0030,20180519,515,0015,08,대, ,0,전체,11110-100043623,11110-100027079,0,서울특별시 종로구 청운동 30-15번지, ,1,79,11110, ,
10100, ,0030,20180519,515,0016,08,대, ,0,전체,11110-100043624,11110-100027079,0,서울특별시 종로구 청운동 30-16번지, ,0,80,11110, ,
10100, ,0031,20100818,510,0007, , , ,0,전체,11110-1733,11110-1370,0,서울특별시 종로구 청운동 31-7번지, ,1,81,11110, ,
10100, ,0038,20151014,515,0001,08,대, ,0,전체,11110-100032297,11110-100023936,0,서울특별시 종로구 청운동 38-1번지, ,1,82,11110, ,
10100, ,0038,20170908,515,0001,08,대, ,0,전체,11110-100041096,11110-100024216,0,서울특별시 종로구 청운동 38-1번지, ,0,83,11110, ,
10100, ,0038,20170908,515,0001,08,대, ,1,동별,11110-100029000,11110-100041098,0,서울특별시 종로구 청운동 38-1번지, ,0,84,11110, ,
10100, ,0038,20171020,515,0001,08,대, ,0,전체,11110-100041495,11110-100029175,0,서울특별시 종로구 청운동 38-1번지, ,0,85,11110, ,
10100, ,0038,20180519,515,0011,08,대, ,0,전체,11110-100043625,11110-100027079,0,서울특별시 종로구 청운동 38-11번지, ,0,86,11110, ,
10100, ,0038,20170908,515,0014,08,대, ,0,전체,11110-100041097,11110-100024216,0,서울특별시 종로구 청운동 38-14번지, ,0,87,11110, ,
10100, ,0038,20170908,515,0014,08,대, ,1,동별,11110-100029000,11110-100041099,0,서울특별시 종로구 청운동 38-14번지, ,0,88,11110, ,
10100, ,0038,20171020,515,0014,08,대, ,0,전체,11110-100041496,11110-100029175,0,서울특별시 종로구 청운동 38-14번지, ,0,89,11110, ,
10100, ,0039,20100325,510,0006, , , ,0,전체,11110-6096,11110-5722,0,서울특별시 종로구 청운동 39-6번지, ,1,90,11110, ,
10100, ,0039,20140327,510,0006,08,대, ,0,전체,11110-2201,11110-1827,0,서울특별시 종로구 청운동 39-6번지, ,1,91,11110, ,
10100, ,0040,20090326,510,0003,08,대, ,0,전체,11110-1395,11110-1032,0,서울특별시 종로구 청운동 40-3번지, ,1,92,11110, ,
10100, ,0040,20100325,510,0003, , , ,0,전체,11110-5892,11110-5518,0,서울특별시 종로구 청운동 40-3번지, ,1,93,11110, ,
10100, ,0040,20140206,510,0003,08,대, ,0,전체,11110-2132,11110-1758,0,서울특별시 종로구 청운동 40-3번지, ,1,94,11110, ,
10100, ,0040,20180914,510,0003,08,대, ,0,전체,11110-100026090,11110-100019422,0,서울특별시 종로구 청운동 40-3번지, ,1,95,11110, ,
10100, ,0048,20150730,515,0000,08,대, ,0,전체,11110-100031480,11110-100023269,0,서울특별시 종로구 청운동 48번지, ,1,96,11110, ,
10100, ,0049,20160706,515,0002,08,대, ,0,전체,11110-100035197,11110-100025772,0,서울특별시 종로구 청운동 49-2번지, ,1,97,11110, ,
10100, ,0049,20170524,515,0002,08,대, ,0,전체,11110-100038943,11110-100024571,0,서울특별시 종로구 청운동 49-2번지, ,1,98,11110, ,
10100, ,0049,20160706,515,0003,08,대, ,0,전체,11110-100035196,11110-100025771,0,서울특별시 종로구 청운동 49-3번지, ,1,99,11110, ,
10100, ,0049,20170524,515,0003,08,대, ,0,전체,11110-100038944,11110-100024571,0,서울특별시 종로구 청운동 49-3번지, ,0,100,11110, ,
10100, ,0049,20170524,515,0003,08,대, ,1,동별,11110-100027973,11110-100038947,0,서울특별시 종로구 청운동 49-3번지, ,0,101,11110, ,
10100, ,0050,20170421,515,0006,08,대, ,0,전체,11110-100038641,11110-100025737,0,서울특별시 종로구 청운동 50-6번지, ,1,102,11110, ,
10100, ,0050,20131206,510,0010,08,대, ,0,전체,11110-1383,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,1,103,11110, ,
10100, ,0050,20170524,515,0014,08,대, ,0,전체,11110-100038945,11110-100024571,0,서울특별시 종로구 청운동 50-14번지, ,0,104,11110, ,
10100, ,0050,20170524,515,0014,08,대, ,1,동별,11110-100027973,11110-100038948,0,서울특별시 종로구 청운동 50-14번지, ,0,105,11110, ,
10100, ,0050,20180421,515,0030,08,대, ,0,전체,11110-100043307,11110-100030448,0,서울특별시 종로구 청운동 50-30번지, ,1,106,11110, ,
10100, ,0050,20190213,515,0030,08,대, ,0,전체,11110-100047163,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,1,107,11110, ,
10100, ,0050,20160805,515,0040,08,대, ,0,전체,11110-100035698,11110-100025971,0,서울특별시 종로구 청운동 50-40번지, ,1,108,11110, ,
10100, ,0050,20170722,515,0040,08,대, ,0,전체,11110-100040559,11110-100025972,0,서울특별시 종로구 청운동 50-40번지, ,1,109,11110, ,
10100, ,0050,20160805,515,0041,08,대, ,0,전체,11110-100035699,11110-100025971,0,서울특별시 종로구 청운동 50-41번지, ,0,110,11110, ,
10100, ,0050,20170524,515,0049,08,대, ,0,전체,11110-100038946,11110-100024571,0,서울특별시 종로구 청운동 50-49번지, ,0,111,11110, ,
