bjdongCd,block,bun,capaLube,capaPsper,crtnDay,ji,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm,wclfModeCd,wclfModeCdNm
10100, ,0052,0,20,20090326,0006, ,0,전체,11110-794,0,서울특별시 종로구 청운동 52-6번지,1,46,11110, ,201,부패탱크방법
10100, ,0052,0,20,20130618,0010, ,0,전체,11110-472,0,서울특별시 종로구 청운동 52-10번지,1,47,11110, ,204,접촉폭기방법
10100, ,0052,0,20,20100604,0015, ,0,전체,11110-446,0,서울특별시 종로구 청운동 52-15번지,1,48,11110, ,201,부패탱크방법
10100, ,0052,0,20,20090326,0016, ,0,전체,11110-2465,0,서울특별시 종로구 청운동 52-16번지,1,49,11110, ,201,부패탱크방법
10100, ,0052,0,20,20090326,0018, ,0,전체,11110-567,0,서울특별시 종로구 청운동 52-18번지,1,50,11110, ,201,부패탱크방법
10100, ,0052,0,20,20120204,0018, ,0,전체,11110-467,0,서울특별시 종로구 청운동 52-18번지,1,51,11110, ,201,부패탱크방법
10100,52,0052,1.8,10,20090326,0023,23,0,전체,11110-1080,0,서울특별시 종로구 청운동 52-23번지,1,52,11110,서울시 종로구 청운동,201,부패탱크방법
10100, ,0052,0,40,20100112,0026, ,0,전체,11110-100008788,0,서울특별시 종로구 청운동 52-26번지,1,53,11110, ,201,부패탱크방법
10100, ,0052,0,30,20090326,0038, ,0,전체,11110-869,0,서울특별시 종로구 청운동 52-38번지,1,54,11110, ,201,부패탱크방법
10100, ,0052,0,10,20091024,0042, ,0,전체,11110-100010883,0,서울특별시 종로구 청운동 52-42번지,1,55,11110, ,201,부패탱크방법
10100, ,0052,0,10,20090326,0051, ,0,전체,11110-2556,0,서울특별시 종로구 청운동 52-51번지,1,56,11110, ,201,부패탱크방법
10100, ,0052,0,5,20140902,0057, ,0,전체,11110-3380,0,서울특별시 종로구 청운동 52-57번지,1,57,11110, ,204,접촉폭기방법
10100, ,0052,0,15,20120731,0083, ,0,전체,11110-100015218,0,서울특별시 종로구 청운동 52-83번지,1,58,11110, ,201,부패탱크방법
10100, ,0052,0,15,20140710,0083, ,0,전체,11110-100020246,0,서울특별시 종로구 청운동 52-83번지,1,59,11110, ,201,부패탱크방법
10100, ,0052,0,10,20090326,0106, ,0,전체,11110-3856,0,서울특별시 종로구 청운동 52-106번지,1,60,11110, ,201,부패탱크방법
10100, ,0052,0,10,20190109,0127, ,0,전체,11110-100033809,0,서울특별시 종로구 청운동 52-127번지,1,61,11110, ,201,부패탱크방법
10100, ,0052,0,10,20190124,0128, ,0,전체,11110-100033810,0,서울특별시 종로구 청운동 52-128번지,1,62,11110, ,201,부패탱크방법
10100, ,0052,0,30,20190323,0131, ,0,전체,11110-100035831,0,서울특별시 종로구 청운동 52-131번지,1,63,11110, ,201,부패탱크방법
10100, ,0053,5.5,45,20180914,0003, ,0,전체,11110-100017312,0,서울특별시 종로구 청운동 53-3번지,1,64,11110, ,201,부패탱크방법
10100, ,0053,0,10,20130803,0008, ,0,전체,11110-100016882,0,서울특별시 종로구 청운동 53-8번지,1,65,11110, ,199,기타오수처리시설
10100, ,0053,0,10,20141024,0008, ,0,전체,11110-1081,0,서울특별시 종로구 청운동 53-8번지,1,66,11110, ,201,부패탱크방법
10100, ,0053,0,30,20120425,0016, ,0,전체,11110-100013593,0,서울특별시 종로구 청운동 53-16번지,1,67,11110, ,201,부패탱크방법
10100, ,0053,0,15,20090326,0017, ,0,전체,11110-92,0,서울특별시 종로구 청운동 53-17번지,1,68,11110, ,201,부패탱크방법
10100, ,0053,0,25,20090326,0018, ,0,전체,11110-4107,0,서울특별시 종로구 청운동 53-18번지,1,69,11110, ,201,부패탱크방법
10100, ,0053,0,20,20140117,0019, ,0,전체,11110-100018037,0,서울특별시 종로구 청운동 53-19번지,1,70,11110, ,201,부패탱크방법
10100, ,0053,0,10,20120229,0031, ,0,전체,11110-100013423,0,서울특별시 종로구 청운동 53-31번지,1,71,11110, ,201,부패탱크방법
10100, ,0053,0,15,20090326,0056, ,0,전체,11110-2635,0,서울특별시 종로구 청운동 53-56번지,1,72,11110, ,201,부패탱크방법
10100, ,0053,2.64,15,20090326,0057, ,0,전체,11110-4073,0,서울특별시 종로구 청운동 53-57번지,1,73,11110, ,201,부패탱크방법
10100, ,0053,2.61,15,20130911,0060, ,0,전체,11110-100018204,0,서울특별시 종로구 청운동 53-60번지,1,74,11110, ,201,부패탱크방법
10100, ,0053,2.51,13,20131026,0060, ,0,전체,11110-100018469,0,서울특별시 종로구 청운동 53-60번지,1,75,11110, ,201,부패탱크방법
10100, ,0053,0,10,20150508,0060, ,0,전체,11110-100022710,0,서울특별시 종로구 청운동 53-60번지,0,76,11110, ,201,부패탱크방법
10100, ,0053,0,5,20150508,0060, ,0,전체,11110-100022710,0,서울특별시 종로구 청운동 53-60번지,1,77,11110, ,201,부패탱크방법
10100, ,0053,0,15,20180419,0060, ,0,전체,11110-100030423,0,서울특별시 종로구 청운동 53-60번지,1,78,11110, ,201,부패탱크방법
10100, ,0053,0,5,20090610,0078, ,0,전체,11110-100007235,0,서울특별시 종로구 청운동 53-78번지,1,79,11110, ,201,부패탱크방법
10100, ,0053,0,15,20140411,0083, ,0,전체,11110-4118,0,서울특별시 종로구 청운동 53-83번지,1,80,11110, ,201,부패탱크방법
10100, ,0053,1.63,5,20141021,0088, ,0,전체,11110-100017623,0,서울특별시 종로구 청운동 53-88번지,1,81,11110, ,201,부패탱크방법
10100, ,0056,0,50,20090326,0001, ,0,전체,11110-311,0,서울특별시 종로구 청운동 56-1번지,1,82,11110, ,201,부패탱크방법
10100, ,0056,0,20,20090326,0003, ,0,전체,11110-4192,0,서울특별시 종로구 청운동 56-3번지,1,83,11110, ,201,부패탱크방법
10100, ,0056,0,30,20150402,0004, ,0,전체,11110-1954,0,서울특별시 종로구 청운동 56-4번지,1,84,11110, ,201,부패탱크방법
10100, ,0056,0,20,20140517,0014, ,0,전체,11110-2857,0,서울특별시 종로구 청운동 56-14번지,1,85,11110, ,201,부패탱크방법
10100, ,0056,0,40,20090326,0041, ,0,전체,11110-3663,0,서울특별시 종로구 청운동 56-41번지,1,86,11110, ,201,부패탱크방법
10100, ,0056,0,25,20130618,0042, ,0,전체,11110-429,0,서울특별시 종로구 청운동 56-42번지,1,87,11110, ,301, 
10100, ,0056,2.517,15,20171118,0044, ,0,전체,11110-100023469,0,서울특별시 종로구 청운동 56-44번지,1,88,11110, ,201,부패탱크방법
10100, ,0056,0,80,20090326,0048, ,0,전체,11110-1658,0,서울특별시 종로구 청운동 56-48번지,1,89,11110, ,201,부패탱크방법
10100, ,0056,0,35,20140711,0049, ,0,전체,11110-2363,0,서울특별시 종로구 청운동 56-49번지,1,90,11110, ,201,부패탱크방법
10100, ,0056,0,60,20140711,0049, ,0,전체,11110-1861,0,서울특별시 종로구 청운동 56-49번지,1,91,11110, ,201,부패탱크방법
10100, ,0056,0,10,20150207,0070, ,0,전체,11110-100011630,0,서울특별시 종로구 청운동 56-70번지,1,92,11110, ,201,부패탱크방법
10100, ,0056,0,10,20160629,0077, ,0,전체,11110-100023518,0,서울특별시 종로구 청운동 56-77번지,1,93,11110, ,201,부패탱크방법
10100, ,0057,0,40,20161108,0027, ,0,전체,11110-100024788,0,서울특별시 종로구 청운동 57-27번지,1,94,11110, ,201,부패탱크방법
10100, ,0057,0,20,20170603,0042, ,0,전체,11110-100025790,0,서울특별시 종로구 청운동 57-42번지,1,95,11110, ,201,부패탱크방법
10100,57,0057,0,20,20130618,0064,64,0,전체,11110-1006,0,서울특별시 종로구 청운동 57-64번지,1,96,11110,서울시 종로구 청운동,201,부패탱크방법
