bjdongCd,block,bun,crtnDay,ji,jijiguCd,jijiguCdNm,jijiguGbCd,jijiguGbCdNm,jijiguNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm
10100, ,0015,20170301,0033,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100027374,0,서울특별시 종로구 청운동 15-33번지,1,66,11110, 
10100, ,0015,20170301,0033,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100027374,0,서울특별시 종로구 청운동 15-33번지,0,67,11110, 
10100, ,0015,20170301,0033,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100027374,0,서울특별시 종로구 청운동 15-33번지,1,68,11110, 
10100, ,0015,20170301,0033,UOA120,상대정화구역,3,용도구역코드,상대정화구역, ,0,전체,11110-100027374,0,서울특별시 종로구 청운동 15-33번지,1,69,11110, 
10100, ,0015,20180420,0033,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100025592,0,서울특별시 종로구 청운동 15-33번지,1,70,11110, 
10100, ,0015,20180420,0033,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100025592,0,서울특별시 종로구 청운동 15-33번지,0,71,11110, 
10100, ,0015,20180420,0033,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100025592,0,서울특별시 종로구 청운동 15-33번지,1,72,11110, 
10100, ,0015,20130727,0046,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100016486,0,서울특별시 종로구 청운동 15-46번지,1,73,11110, 
10100, ,0015,20130727,0046,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100016486,0,서울특별시 종로구 청운동 15-46번지,0,74,11110, 
10100, ,0015,20130727,0046,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100016486,0,서울특별시 종로구 청운동 15-46번지,1,75,11110, 
10100, ,0015,20130727,0046,UOA120,상대정화구역,3,용도구역코드,상대정화구역, ,0,전체,11110-100016486,0,서울특별시 종로구 청운동 15-46번지,1,76,11110, 
10100, ,0015,20130727,0046,UNA200, ,3,용도구역코드,대공방어 협조구역, ,0,전체,11110-100016486,0,서울특별시 종로구 청운동 15-46번지,0,77,11110, 
10100, ,0015,20161207,0046,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100023938,0,서울특별시 종로구 청운동 15-46번지,1,78,11110, 
10100, ,0015,20161207,0046,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100023938,0,서울특별시 종로구 청운동 15-46번지,0,79,11110, 
10100, ,0015,20161207,0046,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100023938,0,서울특별시 종로구 청운동 15-46번지,1,80,11110, 
10100, ,0015,20130618,0056,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-929,0,서울특별시 종로구 청운동 15-56번지,1,81,11110, 
10100, ,0030,20140711,0001,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-2469,0,서울특별시 종로구 청운동 30-1번지,1,82,11110, 
10100, ,0030,20140711,0001,300, ,2,용도지구코드,자연환경지구, ,0,전체,11110-2469,0,서울특별시 종로구 청운동 30-1번지,1,83,11110, 
10100, ,0030,20170908,0013,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100024216,0,서울특별시 종로구 청운동 30-13번지,1,84,11110, 
10100, ,0030,20170908,0013,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100024216,0,서울특별시 종로구 청운동 30-13번지,0,85,11110, 
10100, ,0030,20170908,0013,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100024216,0,서울특별시 종로구 청운동 30-13번지,1,86,11110, 
10100, ,0030,20170908,0013,UOA120,상대정화구역,3,용도구역코드,상대정화구역, ,0,전체,11110-100024216,0,서울특별시 종로구 청운동 30-13번지,1,87,11110, 
10100, ,0030,20171020,0013,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, , , ,11110-100029175,0,서울특별시 종로구 청운동 30-13번지,0,88,11110, 
10100, ,0030,20171020,0013,UQA01X, ,1,용도지역코드,도시지역, ,0,전체,11110-100029175,0,서울특별시 종로구 청운동 30-13번지,1,89,11110, 
10100, ,0030,20171020,0013,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100029175,0,서울특별시 종로구 청운동 30-13번지,1,90,11110, 
10100, ,0030,20171020,0013,UOA120,상대정화구역,3,용도구역코드,상대보호구역, , , ,11110-100029175,0,서울특별시 종로구 청운동 30-13번지,0,91,11110, 
10100, ,0030,20171020,0013,ZQ0001,중점경관관리구역,3,용도구역코드,중점경관관리구역, ,0,전체,11110-100029175,0,서울특별시 종로구 청운동 30-13번지,1,92,11110, 
10100, ,0030,20180519,0015,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100027079,0,서울특별시 종로구 청운동 30-15번지,1,93,11110, 
10100, ,0030,20180519,0015,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100027079,0,서울특별시 종로구 청운동 30-15번지,0,94,11110, 
10100, ,0030,20180519,0015,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100027079,0,서울특별시 종로구 청운동 30-15번지,1,95,11110, 
