archArea,archGbCd,archGbCdNm,archPmsDay,atchBldDongCnt,bcRat,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,guyukCd,guyukCdNm,hhldCnt,hoCnt,ji,jiguCd,jiguCdNm,jimokCd,jimokCdNm,jiyukCd,jiyukCdNm,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,realStcnsDay,rnum,sigunguCd,splotNm,stcnsDelayDay,stcnsSchedDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
0, , ,20090617,0,0,10100, , ,0015,20100325,0, , ,0,0,0014, , ,08,대, , , ,0, , ,11110-100010314,0,0,서울특별시 종로구 청운동 15-14번지, ,32,11110, , , ,0,0, ,0,0
209.65,0100,신축,20100324,0,28.65,10100,청운동 15-14 단독주택 (박성빈), ,0015,20111209,1,272,상대정화구역,0,0,0014,411,자연경관지구,08,대,0100,도시지역, ,1,01000,단독주택,11110-100011735,731.8,0,서울특별시 종로구 청운동 15-14번지,20100519,33,11110, , ,20100517,498.28,0,20111206,51.44,376.44
18, , ,20090813,0,0,10100, , ,0015,20111209,0, , ,0,0,0014, , ,08,대,1021,제1종일반주거지역, ,0, , ,11110-100010771,523.3,0,서울특별시 종로구 청운동 15-14번지, ,34,11110, , , ,36,0, ,0,0
0, , ,20030829,0,0,10100, , ,0015,20100325,0, , ,0,0,0015, , , , , , , ,0, , ,11110-5880,0,0,서울특별시 종로구 청운동 15-15번지, ,35,11110, , , ,0,0, ,0,0
166.02,0100,신축,20030719,0,27.54,10100,청운동주택, ,0015,20130618,1, , ,0,0,0015,411,자연경관지구,08,대,1022,제2종일반주거지역, ,1,01000,단독주택,11110-2463,602.9,0,서울특별시 종로구 청운동 15-15번지,20030920,36,11110, , ,20030915,569.39,0,20050305,48.05,289.7
0, , ,20090617,0,0,10100, , ,0015,20100325,0, , ,0,0,0017, , ,08,대, , , ,0, , ,11110-100010315,0,0,서울특별시 종로구 청운동 15-17번지, ,37,11110, , , ,0,0, ,0,0
214.05,0100,신축,20100324,0,22.68,10100,청운동 15-17 단독주택 (정지윤), ,0015,20111104,1,318,대공방어협조구역,0,0,0017,411,자연경관지구,08,대,0100,도시지역, ,1,01000,단독주택,11110-100011736,943.6,0,서울특별시 종로구 청운동 15-17번지,20100519,38,11110, , ,20100517,491.75,0,20111103,39.03,368.31
0, , ,20061204,0,0,10100, , ,0015,20100325,0, , ,0,0,0021, , , , , , , ,0, , ,11110-6589,0,0,서울특별시 종로구 청운동 15-21번지, ,39,11110, , , ,0,0, ,0,0
174.54,0200,증축,20131105,0,29.9,10100, , ,0015,20140318,1, , ,0,0,0022,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100018579,583.8,0,서울특별시 종로구 청운동 15-22번지,20131106,40,11110, , ,20131107,515.02,0,20140317,51.76,302.17
149.03,0100,신축,20020730,0,29.76,10100,청운동 주택, ,0015,20130824,1, , ,0,0,0033, , ,08,대, , , ,1,01000,단독주택,11110-1951,500.75,0,서울특별시 종로구 청운동 15-33번지, ,41,11110, , , ,325.72,2, ,60.51,303
0, , ,20170228,0,0,10100, , ,0015,20170301,0,UOA120,상대정화구역,0,0,0033,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,0, , ,11110-100027374,0,0,서울특별시 종로구 청운동 15-33번지, ,42,11110, , , ,0,0, ,0,0
