bjdongCd,block,bun,changGbCd,changGbCdNm,crtnDay,flrGbCd,flrGbCdNm,flrNo,hoNm,hoNo,ji,lot,mgmDongOulnPk,mgmHoDetlPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm
10100, ,0050, , ,20190213,20,지상,5, ,0,0030, ,11110-100036065,11110-100015892,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,53,11110, 
10100, ,0050, , ,20190213,20,지상,3, ,0,0030, ,11110-100036065,11110-100015893,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,54,11110, 
10100, ,0050, , ,20190213,20,지상,2, ,0,0030, ,11110-100036065,11110-100015894,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,55,11110, 
10100, ,0050, , ,20190213,20,지상,4, ,0,0030, ,11110-100036065,11110-100015895,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,56,11110, 
10100, ,0050, , ,20190213,20,지상,3, ,0,0030, ,11110-100036065,11110-100015896,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,57,11110, 
10100, ,0050, , ,20190213,20,지상,4, ,0,0030, ,11110-100036065,11110-100015897,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,58,11110, 
10100, ,0050, , ,20190213,20,지상,2, ,0,0030, ,11110-100036065,11110-100015898,11110-100024762,0,서울특별시 종로구 청운동 50-30번지, ,59,11110, 
10100, ,0051, , ,20130618,20,지상,1, ,1,0005, ,11110-886,11110-6280,11110-517,0,서울특별시 종로구 청운동 51-5번지, ,60,11110, 
10100, ,0051, , ,20130618,20,지상,2, ,2,0005, ,11110-886,11110-6281,11110-517,0,서울특별시 종로구 청운동 51-5번지, ,61,11110, 
10100, ,0051, , ,20130618,20,지상,3, ,3,0005, ,11110-886,11110-6282,11110-517,0,서울특별시 종로구 청운동 51-5번지, ,62,11110, 
10100, ,0051, , ,20130618,20,지상,4, ,4,0005, ,11110-886,11110-6283,11110-517,0,서울특별시 종로구 청운동 51-5번지, ,63,11110, 
10100, ,0052, , ,20101123,20,지상,1, ,0,0005, ,11110-100010849,11110-100003745,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,64,11110, 
10100, ,0052, , ,20101123,20,지상,2, ,0,0005, ,11110-100010849,11110-100003746,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,65,11110, 
10100, ,0052, , ,20101123,20,지상,3, ,0,0005, ,11110-100010849,11110-100003747,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,66,11110, 
10100, ,0052, , ,20101123,20,지상,4, ,0,0005, ,11110-100010849,11110-100003748,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,67,11110, 
10100, ,0052, , ,20101123,20,지상,5, ,0,0005, ,11110-100010849,11110-100003749,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,68,11110, 
10100, ,0052, , ,20101123,20,지상,4, ,0,0005, ,11110-100010849,11110-100003750,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,69,11110, 
10100, ,0052, , ,20101123,20,지상,3, ,0,0005, ,11110-100010849,11110-100003751,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,70,11110, 
10100, ,0052, , ,20101123,20,지상,5, ,0,0005, ,11110-100010849,11110-100003752,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,71,11110, 
10100, ,0052, , ,20101123,20,지상,2, ,0,0005, ,11110-100010849,11110-100003753,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,72,11110, 
10100, ,0052, , ,20141001,20,지상,5, ,0,0005, ,11110-100020075,11110-100009646,11110-100020788,0,서울특별시 종로구 청운동 52-5번지, ,73,11110, 
10100, ,0052, , ,20141001,20,지상,4, ,0,0005, ,11110-100020075,11110-100009647,11110-100020788,0,서울특별시 종로구 청운동 52-5번지, ,74,11110, 
10100, ,0052, , ,20090326,20,지상,4, ,4,0006, ,11110-1193,11110-9624,11110-794,0,서울특별시 종로구 청운동 52-6번지, ,75,11110, 
10100, ,0052, , ,20090326,20,지상,3, ,3,0006, ,11110-1193,11110-9623,11110-794,0,서울특별시 종로구 청운동 52-6번지, ,76,11110, 
10100, ,0052, , ,20090326,20,지상,2, ,2,0006, ,11110-1193,11110-9622,11110-794,0,서울특별시 종로구 청운동 52-6번지, ,77,11110, 
10100, ,0052, , ,20090326,20,지상,1, ,1,0006, ,11110-1193,11110-9621,11110-794,0,서울특별시 종로구 청운동 52-6번지, ,78,11110, 
10100, ,0052, , ,20130618,20,지상,1, ,1,0010, ,11110-841,11110-6233,11110-472,0,서울특별시 종로구 청운동 52-10번지, ,79,11110, 
10100, ,0052, , ,20130618,20,지상,2, ,2,0010, ,11110-841,11110-6234,11110-472,0,서울특별시 종로구 청운동 52-10번지, ,80,11110, 
10100, ,0052, , ,20130618,20,지상,3, ,3,0010, ,11110-841,11110-6235,11110-472,0,서울특별시 종로구 청운동 52-10번지, ,81,11110, 
10100, ,0056, , ,20140517,10,지하,1, ,1,0014, ,11110-3438,11110-18797,11110-2857,0,서울특별시 종로구 청운동 56-14번지, ,82,11110, 
10100, ,0056, , ,20140517,20,지상,1, ,2,0014, ,11110-3438,11110-18798,11110-2857,0,서울특별시 종로구 청운동 56-14번지, ,83,11110, 
10100, ,0056, , ,20140517,20,지상,2, ,3,0014, ,11110-3438,11110-18799,11110-2857,0,서울특별시 종로구 청운동 56-14번지, ,84,11110, 
10100, ,0056, , ,20140517,20,지상,3, ,4,0014, ,11110-3438,11110-18800,11110-2857,0,서울특별시 종로구 청운동 56-14번지, ,85,11110, 
10100, ,0056, , ,20090326,20,지상,2, ,1,0041, ,11110-4349,11110-19274,11110-3663,0,서울특별시 종로구 청운동 56-41번지, ,86,11110, 
10100, ,0056, , ,20090326,20,지상,2, ,2,0041, ,11110-4349,11110-19275,11110-3663,0,서울특별시 종로구 청운동 56-41번지, ,87,11110, 
10100, ,0056, , ,20090326,20,지상,3, ,3,0041, ,11110-4349,11110-19276,11110-3663,0,서울특별시 종로구 청운동 56-41번지, ,88,11110, 
10100, ,0056, , ,20090326,20,지상,3, ,4,0041, ,11110-4349,11110-19277,11110-3663,0,서울특별시 종로구 청운동 56-41번지, ,89,11110, 
10100, ,0056, , ,20090326,20,지상,4, ,5,0041, ,11110-4349,11110-19278,11110-3663,0,서울특별시 종로구 청운동 56-41번지, ,90,11110, 
10100, ,0056, , ,20090326,20,지상,4, ,6,0041, ,11110-4349,11110-19279,11110-3663,0,서울특별시 종로구 청운동 56-41번지, ,91,11110, 
10100, ,0056, , ,20130618,20,지상,1, ,2,0042, ,11110-796,11110-6207,11110-429,0,서울특별시 종로구 청운동 56-42번지, ,92,11110, 
10100, ,0056, , ,20130618,20,지상,2, ,3,0042, ,11110-796,11110-6208,11110-429,0,서울특별시 종로구 청운동 56-42번지, ,93,11110, 
10100, ,0056, , ,20130618,20,지상,3, ,4,0042, ,11110-796,11110-6209,11110-429,0,서울특별시 종로구 청운동 56-42번지, ,94,11110, 
10100, ,0056, , ,20130618,20,지상,4, ,5,0042, ,11110-796,11110-6210,11110-429,0,서울특별시 종로구 청운동 56-42번지, ,95,11110, 
10100, ,0056, , ,20090326,20,지상,1, ,1,0048, ,11110-2122,11110-12386,11110-1658,0,서울특별시 종로구 청운동 56-48번지, ,96,11110, 
10100, ,0056, , ,20090326,20,지상,1, ,2,0048, ,11110-2122,11110-12387,11110-1658,0,서울특별시 종로구 청운동 56-48번지, ,97,11110, 
10100, ,0056, , ,20090326,20,지상,2, ,3,0048, ,11110-2122,11110-12388,11110-1658,0,서울특별시 종로구 청운동 56-48번지, ,98,11110, 
10100, ,0056, , ,20090326,20,지상,2, ,4,0048, ,11110-2122,11110-12389,11110-1658,0,서울특별시 종로구 청운동 56-48번지, ,99,11110, 
10100, ,0056, , ,20090326,20,지상,3, ,6,0048, ,11110-2122,11110-12390,11110-1658,0,서울특별시 종로구 청운동 56-48번지, ,100,11110, 
10100, ,0056, , ,20090326,20,지상,3, ,7,0048, ,11110-2122,11110-12391,11110-1658,0,서울특별시 종로구 청운동 56-48번지, ,101,11110, 
10100, ,0056, , ,20140711,20,지상,1, ,1,0049, ,11110-2894,11110-17160,11110-2363,0,서울특별시 종로구 청운동 56-49번지, ,102,11110, 
10100, ,0056, , ,20140711,20,지상,2, ,2,0049, ,11110-2894,11110-17161,11110-2363,0,서울특별시 종로구 청운동 56-49번지, ,103,11110, 
10100, ,0056, , ,20140711,20,지상,3, ,3,0049, ,11110-2894,11110-17162,11110-2363,0,서울특별시 종로구 청운동 56-49번지, ,104,11110, 
10100, ,0056, , ,20140711,20,지상,4, ,4,0049, ,11110-2894,11110-17163,11110-2363,0,서울특별시 종로구 청운동 56-49번지, ,105,11110, 
10100, ,0057, , ,20161108,20,지상,4, ,0,0027, ,11110-100026545,11110-100012826,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,106,11110, 
10100, ,0057, , ,20161108,20,지상,3, ,0,0027, ,11110-100026545,11110-100012827,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,107,11110, 
10100, ,0057, , ,20161108,20,지상,4, ,0,0027, ,11110-100026545,11110-100012828,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,108,11110, 
10100, ,0057, , ,20161108,20,지상,3, ,0,0027, ,11110-100026545,11110-100012829,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,109,11110, 
10100, ,0057, , ,20161108,20,지상,2, ,0,0027, ,11110-100026545,11110-100012830,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,110,11110, 
10100, ,0057, , ,20161108,20,지상,2, ,0,0027, ,11110-100026545,11110-100012831,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,111,11110, 
10100, ,0057, , ,20161108,10,지하,1, ,0,0027, ,11110-100026545,11110-100012832,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,112,11110, 
10100, ,0057, , ,20161108,20,지상,1, ,0,0027, ,11110-100026545,11110-100012833,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,113,11110, 
10100, ,0057, , ,20161108,20,지상,1, ,0,0027, ,11110-100026545,11110-100012834,11110-100024788,0,서울특별시 종로구 청운동 57-27번지, ,114,11110, 
10100, ,0057, , ,20170603,20,지상,4, ,0,0042, ,11110-100028087,11110-100013726,11110-100025790,0,서울특별시 종로구 청운동 57-42번지, ,115,11110, 
10100, ,0057, , ,20170603,20,지상,1, ,0,0042, ,11110-100028087,11110-100013727,11110-100025790,0,서울특별시 종로구 청운동 57-42번지, ,116,11110, 
10100, ,0057, , ,20170603,20,지상,3, ,0,0042, ,11110-100028087,11110-100013728,11110-100025790,0,서울특별시 종로구 청운동 57-42번지, ,117,11110, 
