archGbCd,archGbCdNm,bjdongCd,bldNm,block,bun,crtnDay,flrArea,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmFlrOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,135.86,20,지상,2,0004, ,04402,사무소,11110-4463,11110-20324,11110-3771,0,서울특별시 종로구 청운동 8-4번지,47,11110, ,21,철근콘크리트구조
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,131.11,20,지상,2,0004, ,04402,사무소,11110-4463,11110-20325,11110-3771,0,서울특별시 종로구 청운동 8-4번지,48,11110, ,21,철근콘크리트구조
 , ,10100,청운동 효성빌라, ,0008,20170307,0,20,지상,2,0004, , , ,11110-4463,11110-20326,11110-3771,0,서울특별시 종로구 청운동 8-4번지,49,11110, , , 
 , ,10100,청운동 효성빌라, ,0008,20170307,0,20,지상,2,0004, , , ,11110-4463,11110-20327,11110-3771,0,서울특별시 종로구 청운동 8-4번지,50,11110, , , 
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,9.34,20,지상,3,0004, ,04402,사무소,11110-4463,11110-20328,11110-3771,0,서울특별시 종로구 청운동 8-4번지,51,11110, ,21,철근콘크리트구조
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,4.57,20,지상,3,0004, ,04402,사무소,11110-4463,11110-20329,11110-3771,0,서울특별시 종로구 청운동 8-4번지,52,11110, ,21,철근콘크리트구조
 , ,10100,청운동 효성빌라, ,0008,20170307,0,20,지상,3,0004, , , ,11110-4463,11110-20330,11110-3771,0,서울특별시 종로구 청운동 8-4번지,53,11110, , , 
0200,증축,10100,12-1다가구주택, ,0012,20090326,0,10,지하,1,0001, ,01003,다가구주택,11110-5536,11110-24769,11110-4883,0,서울특별시 종로구 청운동 12-1번지,54,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,0,20,지상,1,0001, ,03001,소매점,11110-5536,11110-24770,11110-4883,0,서울특별시 종로구 청운동 12-1번지,55,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,19.99,20,지상,1,0001, ,01003,다가구주택,11110-5536,11110-24771,11110-4883,0,서울특별시 종로구 청운동 12-1번지,56,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,11.39,20,지상,2,0001, ,01003,다가구주택,11110-5536,11110-24772,11110-4883,0,서울특별시 종로구 청운동 12-1번지,57,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,0,20,지상,3,0001, ,01003,다가구주택,11110-5536,11110-24773,11110-4883,0,서울특별시 종로구 청운동 12-1번지,58,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,0,10,지하,1,0001, ,01003,다가구주택,11110-5535,11110-24764,11110-4882,0,서울특별시 종로구 청운동 12-1번지,59,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,0,20,지상,1,0001, ,03001,소매점,11110-5535,11110-24765,11110-4882,0,서울특별시 종로구 청운동 12-1번지,60,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,19.99,20,지상,1,0001, ,01003,다가구주택,11110-5535,11110-24766,11110-4882,0,서울특별시 종로구 청운동 12-1번지,61,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,11.39,20,지상,2,0001, ,01003,다가구주택,11110-5535,11110-24767,11110-4882,0,서울특별시 종로구 청운동 12-1번지,62,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,0,20,지상,3,0001, ,01003,다가구주택,11110-5535,11110-24768,11110-4882,0,서울특별시 종로구 청운동 12-1번지,63,11110, ,19,기타조적구조
 , ,10100,12-1다가구주택, ,0012,20090326,11.01,10,지하,1,0001, ,01003,다가구주택,11110-5538,11110-24776,11110-4885,0,서울특별시 종로구 청운동 12-1번지,64,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,19.99,20,지상,1,0001, ,01003,다가구주택,11110-5538,11110-24777,11110-4885,0,서울특별시 종로구 청운동 12-1번지,65,11110, ,19,기타조적구조
 , ,10100,12-1다가구주택, ,0012,20090326,6.84,20,지상,1,0001, ,03001,소매점,11110-5538,11110-24778,11110-4885,0,서울특별시 종로구 청운동 12-1번지,66,11110, ,19,기타조적구조
0200,증축,10100,12-1다가구주택, ,0012,20090326,11.39,20,지상,2,0001, ,01003,다가구주택,11110-5538,11110-24779,11110-4885,0,서울특별시 종로구 청운동 12-1번지,67,11110, ,19,기타조적구조
 , ,10100,12-1다가구주택, ,0012,20090326,10.28,20,지상,3,0001, ,01003,다가구주택,11110-5538,11110-24780,11110-4885,0,서울특별시 종로구 청운동 12-1번지,68,11110, ,19,기타조적구조
0100,신축,10100, , ,0012,20190109,16.01,30,옥탑,1,0002, ,02003,다세대주택,11110-100030159,11110-100059396,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,69,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190109,33.1,20,지상,1,0002, ,02003,다세대주택,11110-100030159,11110-100059397,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,70,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190109,71.42,20,지상,1,0002, ,02003,다세대주택,11110-100030159,11110-100059398,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,71,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190109,112.29,20,지상,4,0002, ,02003,다세대주택,11110-100030159,11110-100059399,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,72,11110, ,21,철근콘크리트구조
