,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,C3,C3_NM,C3_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM
91,25,대전광역시,Daejeon,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,144653,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
92,25,대전광역시,Daejeon,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,42101,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
93,25,대전광역시,Daejeon,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,83318,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
94,25,대전광역시,Daejeon,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,10554,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
95,25,대전광역시,Daejeon,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,31092,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
96,25,대전광역시,Daejeon,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,1461,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
97,25,대전광역시,Daejeon,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,9931,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
98,26,울산광역시,Ulsan,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,271099,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
99,26,울산광역시,Ulsan,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,361859,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
100,26,울산광역시,Ulsan,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,16831,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
