,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
51,32,강원도,Gangwon-do,거주지역별,010,1호이하,소유지분별,250856,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
52,32,강원도,Gangwon-do,거주지역별,020,1호초과~2호이하,소유지분별,70499,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
53,32,강원도,Gangwon-do,거주지역별,030,2호초과~3호이하,소유지분별,16459,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
54,32,강원도,Gangwon-do,거주지역별,040,3호초과,소유지분별,8141,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
55,33,충청북도,Chungcheongbuk-do,거주지역별,000,총계,소유지분별,362726,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
56,33,충청북도,Chungcheongbuk-do,거주지역별,010,1호이하,소유지분별,262295,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
57,33,충청북도,Chungcheongbuk-do,거주지역별,020,1호초과~2호이하,소유지분별,74035,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
58,33,충청북도,Chungcheongbuk-do,거주지역별,030,2호초과~3호이하,소유지분별,17768,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
59,33,충청북도,Chungcheongbuk-do,거주지역별,040,3호초과,소유지분별,8628,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
60,34,충청남도,Chungcheongnam-do,거주지역별,000,총계,소유지분별,477532,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
61,34,충청남도,Chungcheongnam-do,거주지역별,010,1호이하,소유지분별,335663,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
62,34,충청남도,Chungcheongnam-do,거주지역별,020,1호초과~2호이하,소유지분별,104564,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
63,34,충청남도,Chungcheongnam-do,거주지역별,030,2호초과~3호이하,소유지분별,25293,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
64,34,충청남도,Chungcheongnam-do,거주지역별,040,3호초과,소유지분별,12012,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
65,35,전라북도,Jeollabuk-do,거주지역별,000,총계,소유지분별,427522,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
66,35,전라북도,Jeollabuk-do,거주지역별,010,1호이하,소유지분별,311902,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
67,35,전라북도,Jeollabuk-do,거주지역별,020,1호초과~2호이하,소유지분별,87122,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
68,35,전라북도,Jeollabuk-do,거주지역별,030,2호초과~3호이하,소유지분별,19774,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
69,35,전라북도,Jeollabuk-do,거주지역별,040,3호초과,소유지분별,8724,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
70,36,전라남도,Jeollanam-do,거주지역별,000,총계,소유지분별,435332,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
71,36,전라남도,Jeollanam-do,거주지역별,010,1호이하,소유지분별,309261,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
