번호,접속 사이트,제공항목(데이터셋),폴더명,작업자,시작일,종료일,검토자,진행상태,비고,획득방식,제공방식,원본제공처,비고0,비고2_comment,자료명,서비스명,사이트,서비스키헤더,서비스키명,서비스키,파라미터,제공방식,데이터타입,참고문서,참고문서타입,주기,비고_파라미터설명,완료여부,API PGM ID,파일명
45,국가통계포털,아파트 매매 실거래가격지수_시군구_분기별,45_아파트 매매 실거래가격지수_시군구_분기별,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10045.py,TB_OD10045_yyyymm.csv
46,국가통계포털,아파트 매매 중위가격,46_아파트 매매 중위가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10046.py,TB_OD10046_yyyymm.csv
47,국가통계포털,아파트 매매 평균가격,47_아파트 매매 평균가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10047.py,TB_OD10047_yyyymm.csv
48,국가통계포털,연립 다세대 매매 실거래가격지수,48_연립 다세대 매매 실거래가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10048.py,TB_OD10048_yyyymm.csv
49,국가통계포털,연립다세대 규모별 매매 중위가격,49_연립다세대 규모별 매매 중위가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10049.py,TB_OD10049_yyyymm.csv
50,국가통계포털,연립다세대 규모별 매매 평균가격,50_연립다세대 규모별 매매 평균가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10050.py,TB_OD10050_yyyymm.csv
51,국가통계포털,연립다세대 매매 중위가격,51_연립다세대 매매 중위가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10051.py,TB_OD10051_yyyymm.csv
52,국가통계포털,연립다세대 매매 평균가격,52_연립다세대 매매 평균가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10052.py,TB_OD10052_yyyymm.csv
53,국가통계포털,연립 다세대 실거래가격지수_수도권_분기별,53_연립 다세대 실거래가격지수_수도권_분기별,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10053.py,TB_OD10053_yyyymm.csv
54,국가통계포털,규모별 미분양현황,54_규모별 미분양현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10054.py,TB_OD10054_yyyymm.csv
