,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,C3,C3_NM,C3_NM_ENG,C3_OBJ_NM,C3_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
59,01,아파트,Apartments,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,05,연령5,Age5,건축연령,Age,95.50541628,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
60,01,아파트,Apartments,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,01,연령1,Age1,건축연령,Age,98.08884451,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
61,01,아파트,Apartments,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,02,연령2,Age2,건축연령,Age,97.24001293,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
62,01,아파트,Apartments,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,03,연령3,Age3,건축연령,Age,96.95021986,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
63,01,아파트,Apartments,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,04,연령4,Age4,건축연령,Age,97.13926247,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
64,01,아파트,Apartments,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,05,연령5,Age5,건축연령,Age,97.22602956,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
65,01,아파트,Apartments,주택유형,Type,a20,경남,Gyeongnam,지역,Region,01,연령1,Age1,건축연령,Age,93.77793107,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
66,01,아파트,Apartments,주택유형,Type,a20,경남,Gyeongnam,지역,Region,02,연령2,Age2,건축연령,Age,94.33867929,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
67,01,아파트,Apartments,주택유형,Type,a20,경남,Gyeongnam,지역,Region,03,연령3,Age3,건축연령,Age,90.89662114,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
68,01,아파트,Apartments,주택유형,Type,a20,경남,Gyeongnam,지역,Region,04,연령4,Age4,건축연령,Age,91.83164562,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
69,01,아파트,Apartments,주택유형,Type,a20,경남,Gyeongnam,지역,Region,05,연령5,Age5,건축연령,Age,92.99920833,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
70,01,아파트,Apartments,주택유형,Type,a21,제주,Jeju,지역,Region,01,연령1,Age1,건축연령,Age,97.0473971,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
71,01,아파트,Apartments,주택유형,Type,a21,제주,Jeju,지역,Region,02,연령2,Age2,건축연령,Age,96.71763127,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
72,01,아파트,Apartments,주택유형,Type,a21,제주,Jeju,지역,Region,03,연령3,Age3,건축연령,Age,97.38406767,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
73,01,아파트,Apartments,주택유형,Type,a21,제주,Jeju,지역,Region,04,연령4,Age4,건축연령,Age,96.4227168,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
74,01,아파트,Apartments,주택유형,Type,a21,제주,Jeju,지역,Region,05,연령5,Age5,건축연령,Age,97.60330327,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
75,01,아파트,Apartments,주택유형,Type,a22,6대광역시,6LargeCities,지역,Region,01,연령1,Age1,건축연령,Age,98.64718653,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
76,01,아파트,Apartments,주택유형,Type,a22,6대광역시,6LargeCities,지역,Region,02,연령2,Age2,건축연령,Age,97.95661279,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
77,01,아파트,Apartments,주택유형,Type,a22,6대광역시,6LargeCities,지역,Region,03,연령3,Age3,건축연령,Age,98.53264812,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
78,01,아파트,Apartments,주택유형,Type,a22,6대광역시,6LargeCities,지역,Region,04,연령4,Age4,건축연령,Age,98.64424472,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
79,01,아파트,Apartments,주택유형,Type,a22,6대광역시,6LargeCities,지역,Region,05,연령5,Age5,건축연령,Age,98.29858962,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
80,01,아파트,Apartments,주택유형,Type,a23,9개도,9Provinces,지역,Region,01,연령1,Age1,건축연령,Age,97.89558067,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
81,01,아파트,Apartments,주택유형,Type,a23,9개도,9Provinces,지역,Region,02,연령2,Age2,건축연령,Age,97.7206734,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
