,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
47,33,충청북도,Chungcheongbuk-do,주택소유지별,262239,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
48,34,충청남도,Chungcheongnam-do,주택소유지별,805555,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
49,34,충청남도,Chungcheongnam-do,주택소유지별,686088,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
50,34,충청남도,Chungcheongnam-do,주택소유지별,426251,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
51,34,충청남도,Chungcheongnam-do,주택소유지별,344151,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
52,35,전라북도,Jeollabuk-do,주택소유지별,698264,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
53,35,전라북도,Jeollabuk-do,주택소유지별,587158,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
54,35,전라북도,Jeollabuk-do,주택소유지별,374491,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
55,35,전라북도,Jeollabuk-do,주택소유지별,305703,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
56,36,전라남도,Jeollanam-do,주택소유지별,766231,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
57,36,전라남도,Jeollanam-do,주택소유지별,605836,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
58,36,전라남도,Jeollanam-do,주택소유지별,324257,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
59,36,전라남도,Jeollanam-do,주택소유지별,220838,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
60,37,경상북도,Gyeongsangbuk-do,주택소유지별,1038274,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
61,37,경상북도,Gyeongsangbuk-do,주택소유지별,895071,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
62,37,경상북도,Gyeongsangbuk-do,주택소유지별,485196,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
63,37,경상북도,Gyeongsangbuk-do,주택소유지별,393187,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
64,38,경상남도,Gyeongsangnam-do,주택소유지별,1193912,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
65,38,경상남도,Gyeongsangnam-do,주택소유지별,1070083,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
66,38,경상남도,Gyeongsangnam-do,주택소유지별,694326,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
67,38,경상남도,Gyeongsangnam-do,주택소유지별,603771,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
68,39,제주특별자치도,Jeju,주택소유지별,221140,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
69,39,제주특별자치도,Jeju,주택소유지별,192403,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
70,39,제주특별자치도,Jeju,주택소유지별,70112,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
71,39,제주특별자치도,Jeju,주택소유지별,53201,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
