,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
68,01,아파트,Apartments,주택유형,Type,a6,경기,Gyeonggi,지역,Region,96.33922104,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
69,01,아파트,Apartments,주택유형,Type,a601,경부1권,Gyeongbu1-kwon,지역,Region,97.30650719,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
70,01,아파트,Apartments,주택유형,Type,a602,경부2권,Gyeongbu2-kwon,지역,Region,95.90956893,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
71,01,아파트,Apartments,주택유형,Type,a603,서해안권,Seohaean-kwon,지역,Region,94.96369295,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
72,01,아파트,Apartments,주택유형,Type,a604,동부1권,Dongbu1-kwon,지역,Region,96.58716204,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
73,01,아파트,Apartments,주택유형,Type,a605,동부2권,Dongbu2-kwon,지역,Region,99.15244353,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
74,01,아파트,Apartments,주택유형,Type,a606,경의권,Gyeongui-kwon,지역,Region,96.48366276,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
75,01,아파트,Apartments,주택유형,Type,a607,경원권,Gyeongwon-kwon,지역,Region,99.0818836,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
76,01,아파트,Apartments,주택유형,Type,a7,인천,Incheon,지역,Region,98.24707967,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
77,01,아파트,Apartments,주택유형,Type,a8,부산,Busan,지역,Region,97.66716743,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
